"","logFC","logCPM","F","PValue","FDR"
"MIR23A",2.76745566282827,2.39768295501458,38.4815279859745,7.74081132139958e-07,0.00522658935921109
"TBL1Y",5.43644674851755,-1.21671589101389,37.9814235620118,8.66556960760076e-07,0.00522658935921109
"FAM122A",-1.14525014163901,3.84819643646431,36.5168325509924,1.212022194504e-06,0.00522658935921109
"DEFB4B",4.72781363624203,-1.44423229579116,36.1871036169278,1.30850478856758e-06,0.00522658935921109
"LINC00397",4.60109639197822,-1.3082270135056,34.474519951592,1.96052245829365e-06,0.00522658935921109
"SNORD114_20",4.17656407390624,-1.75741308390479,33.9880934971166,2.20360632170147e-06,0.00522658935921109
"DEFB133",4.29012963005333,-1.62012431030341,33.9552324076437,2.2211496293824e-06,0.00522658935921109
"MTIF3",-1.26637669184334,3.49235144305995,33.808587524066,2.30127537717205e-06,0.00522658935921109
"SLC35A2",1.36782163027459,3.56916839831985,33.3864164225902,2.54966837187848e-06,0.00522658935921109
"FOXC2",4.55503830596131,-1.3940379278645,33.2761177640017,2.61917787729935e-06,0.00522658935921109
"EGFL7",2.22382228608541,2.09567320339681,32.9538683380123,2.83410210624383e-06,0.00522658935921109
"DPEP2",-1.68478292962951,5.26800768316207,32.7947428017371,2.94710723830795e-06,0.00522658935921109
"MIR520B",4.49049875283226,-1.54412475518978,32.3521185925813,3.28750683021241e-06,0.00522658935921109
"SPAG5",1.6755981545027,3.033108340587,32.103044476314,3.49731561030696e-06,0.00522658935921109
"SUV420H1",-1.2785321072993,5.33536484041262,31.8468258588507,3.72813584523394e-06,0.00522658935921109
"SCEL_AS1",3.99631031225128,-1.61508700433309,31.8426303955984,3.7320481433863e-06,0.00522658935921109
"RBM12B",-1.47166447628755,4.54329771611317,31.5853403067531,3.98055617815942e-06,0.00522658935921109
"PPCS",-1.29595098003927,3.69898952866323,31.4058473860293,4.16435414272241e-06,0.00522658935921109
"ZNF705B",4.50451057410607,-1.44556791823513,31.366419398025,4.20592924280239e-06,0.00522658935921109
"IRGQ",1.46299139647601,4.73110009519589,31.2778842535133,4.30090946674739e-06,0.00522658935921109
"TCP11L2",-2.21504676809362,7.34055070893454,31.1021029795925,4.49634299456818e-06,0.00522658935921109
"CDT1",1.91581355096827,2.16701523541549,30.5735076031478,5.14336579384296e-06,0.00522658935921109
"LOC101928626",3.99585994407762,-1.68203567784537,30.5702133028418,5.14769696229998e-06,0.00522658935921109
"BLVRB",-2.7152269189987,7.92454696952066,30.3017318100163,5.51411959142486e-06,0.00522658935921109
"MIR1254_2",3.95886534455024,-1.70047728275062,30.2964729901847,5.52156914088891e-06,0.00522658935921109
"MIR153_2",4.49709557747174,-1.3938154149716,30.212469757032,5.642035056609e-06,0.00522658935921109
"PSD",2.08924051465095,2.93013434529602,29.9378976451623,6.05577024873359e-06,0.00522658935921109
"TMEM184A",2.50217749068472,2.80672259035327,29.8868641109638,6.13617927144784e-06,0.00522658935921109
"IFNAR2",-1.5329019900989,5.39924472590723,29.7329427256877,6.38568216093198e-06,0.00522658935921109
"LINC01075",4.62598078898774,-1.285334190142,29.621038980827,6.57386781396693e-06,0.00522658935921109
"MIR2052",4.11110304566698,-1.65162207531827,29.5038963684634,6.77722493117709e-06,0.00522658935921109
"PLEKHG3",-1.63418132862127,6.18289575764075,29.266645202186,7.20996325845605e-06,0.00522658935921109
"MIR3659",4.20137296246299,-1.64510210261287,29.236250017743,7.26750093997011e-06,0.00522658935921109
"ACER2",1.22618360294406,2.74782265413455,29.2205385188779,7.29743468948689e-06,0.00522658935921109
"RNF14",-1.96057971155847,5.71434520032913,29.1084605138055,7.51482516408411e-06,0.00522658935921109
